Rank,Name,Elo,+,−,Games,score,opponent,draw
1,katab40s37-pda1,3510,59,59,298,92%,2916,12%
2,katab40s37-awsp3,3438,48,48,290,88%,2974,24%
3,KG30b11_406_2x2060,3383,113,113,144,96%,2785,5%
4,rn.6.3.945,3343,52,52,201,73%,2982,27%
5,CrazyStone-0005,3305,40,40,435,76%,2919,20%
6,kata132_s191_v6400,3280,30,30,839,75%,2882,17%
7,rn.6.3.600,3242,75,75,162,87%,2722,12%
8,Kishin-4.0-4c2g,3235,113,113,128,96%,2666,7%
9,GokuiNano,3232,65,65,375,95%,2688,5%
10,Pepsiman-4.6c,3225,78,78,100,67%,2924,23%
11,Kishin-4.1nb-24c8g,3223,38,38,671,91%,2748,13%
12,kata145b30s482v400,3221,40,40,356,80%,2858,24%
13,kata133b30s129v800,3217,88,88,102,87%,2752,14%
14,kata145b40s509v400,3207,24,24,1132,84%,2842,19%
15,KG_30b11_399_500p,3195,66,66,162,83%,2776,13%
16,kata135b40s299v400,3179,21,21,1602,84%,2781,16%
17,kata133b30s184v400,3176,72,72,100,79%,2838,27%
18,kata13_170b20v1600,3176,55,55,217,85%,2736,18%
19,KG_20b9_1xRTX2060,3175,73,73,143,90%,2728,18%
20,KG_20b9_335_500p,3173,45,45,503,89%,2712,9%
21,kata1_b60s690v400,3172,55,55,258,89%,2566,18%
22,CLeela9Test12,3172,112,112,101,90%,2597,0%
23,Pepsiman-4.3,3169,80,80,100,85%,2746,23%
24,kata140b20s505v400,3168,34,34,646,86%,2719,15%
25,Pepsiman-4.4a,3167,76,76,100,80%,2721,24%
26,rn.6.3.940-v6400,3165,39,39,444,80%,2769,16%
27,KG_20b9_335_2k,3164,79,79,141,89%,2658,13%
28,Maximus_160B_512F,3161,41,41,880,94%,2584,5%
29,rn630_945_p3200,3160,39,39,392,73%,2782,17%
30,kata133b40s192v400,3158,75,75,109,83%,2742,21%
31,kata134b40s238v400,3155,73,73,126,81%,2771,17%
32,kata145b20s530v400,3146,39,39,353,71%,2863,23%
33,dark_energy_105vp,3146,72,72,138,84%,2690,17%
34,Aya792k_p2v2_6c,3146,146,146,102,97%,2482,3%
35,Kishin-4.1a-4c2g,3139,45,45,408,83%,2722,16%
36,rn.6.3.435-p10k,3138,76,76,116,80%,2741,15%
37,g128f20bma,3136,127,127,100,96%,2550,6%
38,kata133b20s297v400,3136,74,74,102,75%,2745,24%
39,k9x9Dp300,3136,14,14,2201,76%,2717,44%
40,kata135b30s284v400,3130,53,53,206,80%,2802,24%
41,kata133b20s243v400,3129,48,48,281,79%,2702,20%
42,kata1_b18s698v5000,3129,33,33,345,72%,2810,53%
43,kata134b20s335v400,3128,56,56,172,75%,2805,24%
44,k9x9Cp300,3127,16,16,1334,66%,2851,60%
45,KG_15b7_2k,3127,66,66,151,83%,2722,16%
46,k9x9Ep300,3126,16,16,1729,77%,2659,42%
47,dark_matter_27,3124,47,47,275,80%,2620,20%
48,kata134b30s227v400,3124,44,44,307,76%,2802,18%
49,kata1_b18s698v20k,3124,19,19,1119,73%,2763,51%
50,Pepsiman-4a,3117,73,73,100,82%,2738,29%
51,Pepsiman-3.9,3117,75,75,100,78%,2694,23%
52,Wawawa-Testing2,3109,65,65,172,79%,2643,12%
53,kata13b20s191_v400,3109,9,9,7834,79%,2719,16%
54,CLeelaz9Test13,3109,72,72,154,79%,2751,1%
55,Pepsiman-3.8,3107,77,77,100,84%,2696,26%
56,khd-0.9-3090,3106,56,56,157,69%,2868,19%
57,kata133b40s135v400,3104,78,78,101,80%,2710,21%
58,kohada0.3.7.3500,3102,76,76,145,87%,2579,12%
59,k9x9Fp300,3098,15,15,1943,74%,2665,49%
60,kohada0.3.4.3500,3096,55,55,269,88%,2424,15%
61,kohada0.3.10.3500,3096,36,36,424,78%,2673,25%
62,kohada0.3.8.3500,3093,36,36,453,79%,2633,24%
63,kata18b40s1148v100,3093,36,36,423,81%,2721,26%
64,JiGoDameZettai-0.0,3093,57,57,295,79%,2728,1%
65,sai_S1_9461_p40k,3092,46,46,364,77%,2692,10%
66,kata133b30s129v400,3090,78,78,101,78%,2749,19%
67,k9x9Gp300,3088,21,21,1000,74%,2627,51%
68,KG_30b11_472_100p,3084,66,66,150,82%,2655,15%
69,dark_energy_52,3084,66,66,146,82%,2731,22%
70,k9x9Bv100,3082,22,22,1089,77%,2560,38%
71,HLeelaz_158_3000po,3081,83,83,126,87%,2700,6%
72,KG_30b11_406_100p,3081,75,75,135,85%,2644,10%
73,KG_20b9_287_500p,3078,65,65,204,89%,2667,11%
74,kata15b40_cpu_v100,3073,56,56,220,85%,2620,18%
75,Pepsiman-4,3071,78,78,100,82%,2710,23%
76,kata1_b18s626v100,3071,20,20,1590,83%,2579,23%
77,kohada0.3.4.2500,3070,41,41,322,70%,2627,20%
78,dark_energy_105,3069,54,54,194,74%,2696,26%
79,kata_s632_T2,3066,69,69,126,79%,2705,14%
80,khd0.7.986-1050Ti,3065,27,27,955,79%,2607,8%
81,kohada0.3.9.3500,3064,78,78,105,81%,2531,15%
82,Nats0515_p2v4_t8g2,3061,22,22,1649,85%,2695,8%
83,Haruka-B,3059,40,40,490,87%,2658,15%
84,Pepsiman-3.7,3059,87,87,100,89%,2573,18%
85,kata1_b60s690v50,3055,41,41,379,79%,2551,23%
86,k9x9Av100,3055,33,33,680,88%,2381,22%
87,kata135b20s376v400,3051,51,51,205,68%,2782,25%
88,k9b18_231025_gt710,3050,47,47,310,88%,2408,25%
89,1e6ORx,3049,98,98,100,92%,2499,11%
90,kata13_170b20_v400,3049,17,17,2267,79%,2612,20%
91,k9_231025_gt1030,3048,61,61,146,85%,2609,31%
92,rn.6.2.285-p10k,3048,52,52,214,73%,2729,20%
93,kata13b15s167_v400,3046,90,90,104,82%,2524,12%
94,sai_S1_9461_p10k,3044,6,6,27109,82%,2526,9%
95,kohada0.3.4.3000,3042,35,35,504,80%,2517,18%
96,kata181b40s1148v50,3041,17,17,1867,77%,2695,25%
97,clarity,3039,32,32,404,56%,2881,39%
98,khd0.8.34-1050Ti,3037,23,23,1251,81%,2551,15%
99,khd0.6-1050Ti,3032,30,30,883,84%,2387,14%
100,ahuago-1,3030,50,50,408,90%,2531,9%
101,Pepsiman-3.3b,3027,86,86,100,86%,2644,13%
102,kata12_104b20v1600,3026,43,43,540,91%,2467,10%
103,rn.6.3.165-p10k,3018,53,53,224,73%,2688,16%
104,khd0.7.365-1050Ti,3012,18,18,1573,67%,2762,24%
105,ab_sampling3,3012,73,73,104,73%,2697,30%
106,Nats0721_p2v4_8t2g,3011,31,31,819,84%,2621,12%
107,kata145b20s530v100,3004,54,54,176,76%,2686,22%
108,Pepsiman-3.3a,2998,75,75,100,83%,2641,24%
109,Nats0525_14b_4tg2,2998,34,34,660,85%,2637,11%
110,Pepsiman-1n,2993,90,90,100,89%,2550,18%
111,Pepsiman-3.1a,2991,94,94,100,92%,2410,16%
112,khd0.7.32-1050Ti,2990,86,86,100,79%,2442,10%
113,eg-b20s574Mv800,2990,14,14,3387,78%,2638,17%
114,k9b18_231025v100,2989,31,31,396,74%,2578,53%
115,HLeelaz_158_1000po,2987,70,70,129,78%,2685,11%
116,k9b18_231025v50,2986,29,29,430,72%,2678,56%
117,Aya798c_p2v2_6t,2984,67,67,169,77%,2627,7%
118,k9b18_231025v800,2978,50,50,136,70%,2771,60%
119,zkkily,2978,65,65,141,78%,2675,15%
120,rn.6.3.800-v400,2974,23,23,1153,71%,2723,14%
121,LZ20_128_65_t4g2,2973,56,56,214,85%,2631,17%
122,CLeelaz10Test,2972,86,86,100,87%,2608,12%
123,kata12_104b20_v400,2971,6,6,24169,78%,2537,13%
124,KG_20b9_335_50p,2970,35,35,570,74%,2694,13%
125,Sai9-16b-028a,2968,77,77,111,76%,2652,14%
126,Zen-15.3-3c1g,2968,46,46,360,84%,2594,10%
127,HLeelaz_mix_4_100,2966,70,70,156,86%,2538,12%
128,BakedWaffle-7.6a,2964,32,32,705,85%,2580,15%
129,HLeelaz_LeelazBot,2964,77,77,102,83%,2626,19%
